115, 256, 500, 0, 16,8383.33,8992.41,  0.06,  0.06, 
116, 256, 500, 0, 32,8599.48,9224.39,  0.03,  0.03, 
117, 256, 500, 100, 2,8777.95,9402.70,  0.50,  0.50, 
118, 256, 500, 100, 8,8930.52,9613.14,  0.12,  0.12, 
119, 256, 500, 100, 16,9131.66,9813.50,  0.06,  0.06, 
120, 256, 500, 100, 32,9321.04,10016.56,  0.03,  0.03, 
121, 256, 1000, 0, 2,9475.25,10183.64,  0.50,  0.50, 
122, 256, 1000, 0, 8,9661.57,10383.33,  0.12,  0.12, 
123, 256, 1000, 0, 16,9864.66,10595.19,  0.06,  0.06, 
124, 256, 1000, 0, 32,10084.87,10817.09,  0.03,  0.03, 
125, 256, 1000, 100, 2,10168.38,10897.99,  0.50,  0.50, 
126, 256, 1000, 100, 8,10290.23,11072.17,  0.12,  0.12, 
127, 256, 1000, 100, 16,10444.35,11250.15,  0.06,  0.06, 
128, 256, 1000, 100, 32,10573.92,11397.42,  0.03,  0.03, 
129, 512, 50, 0, 2,11061.26,11881.37,  0.50,  0.50, 
130, 512, 50, 0, 8,11531.83,12367.31,  0.12,  0.12, 
131, 512, 50, 0, 16,12006.84,12849.23,  0.06,  0.06, 
132, 512, 50, 0, 32,12473.55,13325.10,  0.03,  0.03, 
133, 512, 50, 100, 2,12938.12,13790.00,  0.50,  0.50, 
134, 512, 50, 100, 8,13362.36,14275.30,  0.12,  0.12, 
135, 512, 50, 100, 16,13768.41,14732.96,  0.06,  0.06, 
136, 512, 50, 100, 32,14207.59,15197.54,  0.03,  0.03, 
137, 512, 250, 0, 2,14642.61,15663.88,  0.50,  0.50, 
138, 512, 250, 0, 8,15115.97,16130.91,  0.12,  0.12, 
139, 512, 250, 0, 16,15590.99,16606.26,  0.06,  0.06, 
140, 512, 250, 0, 32,16051.50,17084.75,  0.03,  0.03, 
141, 512, 250, 100, 2,16475.37,17532.11,  0.50,  0.50, 
142, 512, 250, 100, 8,16839.11,17958.05,  0.12,  0.12, 
143, 512, 250, 100, 16,17253.20,18335.26,  0.06,  0.06, 
144, 512, 250, 100, 32,17645.41,18753.79,  0.03,  0.03, 
145, 512, 500, 0, 2,17932.49,19151.73,  0.50,  0.50, 
146, 512, 500, 0, 8,18355.64,19595.84,  0.12,  0.12, 
147, 512, 500, 0, 16,18804.42,20055.89,  0.06,  0.06, 
148, 512, 500, 0, 32,19248.90,20524.52,  0.03,  0.03, 
149, 512, 500, 100, 2,19485.17,20932.55,  0.50,  0.50, 
150, 512, 500, 100, 8,19846.39,21302.91,  0.12,  0.12, 
151, 512, 500, 100, 16,20218.40,21696.37,  0.06,  0.06, 
152, 512, 500, 100, 32,20585.42,22066.52,  0.03,  0.03, 
153, 512, 1000, 0, 2,20755.09,22235.84,  0.50,  0.50, 
154, 512, 1000, 0, 8,21102.10,22620.10,  0.12,  0.12, 
155, 512, 1000, 0, 16,21470.23,23022.98,  0.06,  0.06, 
156, 512, 1000, 0, 32,21898.57,23448.87,  0.03,  0.03, 
157, 512, 1000, 100, 2,22084.33,23694.48,  0.50,  0.50, 
158, 512, 1000, 100, 8,22261.34,23872.78,  0.12,  0.12, 
159, 512, 1000, 100, 16,22458.66,24070.95,  0.06,  0.06, 
160, 512, 1000, 100, 32,22740.24,24299.53,  0.03,  0.03, 
161, 1024, 50, 0, 2,23706.75,25267.15,  0.50,  0.50, 
162, 1024, 50, 0, 8,24680.97,26240.94,  0.12,  0.12, 
163, 1024, 50, 0, 16,25634.33,27218.48,  0.06,  0.06, 
164, 1024, 50, 0, 32,26574.19,28182.07,  0.03,  0.03, 
165, 1024, 50, 100, 2,27512.70,29153.09,  0.50,  0.50, 
166, 1024, 50, 100, 8,28374.67,30077.29,  0.12,  0.12, 
167, 1024, 50, 100, 16,29249.50,31027.98,  0.06,  0.06, 
168, 1024, 50, 100, 32,30086.74,31946.49,  0.03,  0.03, 
169, 1024, 250, 0, 2,30988.95,32864.87,  0.50,  0.50, 
170, 1024, 250, 0, 8,31896.48,33774.49,  0.12,  0.12, 
171, 1024, 250, 0, 16,32849.32,34737.21,  0.06,  0.06, 
172, 1024, 250, 0, 32,33786.15,35687.09,  0.03,  0.03, 
173, 1024, 250, 100, 2,34640.32,36544.06,  0.50,  0.50, 
174, 1024, 250, 100, 8,35210.92,37242.06,  0.12,  0.12, 
175, 1024, 250, 100, 16,35923.19,37949.73,  0.06,  0.06, 
176, 1024, 250, 100, 32,36423.94,38605.14,  0.03,  0.03, 
177, 1024, 500, 0, 2,37146.89,38999.90,  0.50,  0.50, 
178, 1024, 500, 0, 8,37971.65,39869.40,  0.12,  0.12, 
179, 1024, 500, 0, 16,38825.14,40773.75,  0.06,  0.06, 
180, 1024, 500, 0, 32,39734.34,41691.78,  0.03,  0.03, 
181, 1024, 500, 100, 2,40335.31,42426.99,  0.50,  0.50, 
182, 1024, 500, 100, 8,40780.65,43093.10,  0.12,  0.12, 
183, 1024, 500, 100, 16,41409.68,43735.03,  0.06,  0.06, 
184, 1024, 500, 100, 32,42011.34,44339.56,  0.03,  0.03, 
185, 1024, 1000, 0, 2,42282.38,44718.98,  0.50,  0.50, 
186, 1024, 1000, 0, 8,42780.20,45399.16,  0.12,  0.12, 
187, 1024, 1000, 0, 16,43331.11,46096.04,  0.06,  0.06, 
188, 1024, 1000, 0, 32,43922.50,46874.24,  0.03,  0.03, 
